country_name,country_id,country_text_id,year,historical_date,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_freexp_altinf,v2x_rule,v2xcs_ccsi,v2x_regime
Sweden,5.0,SWE,1900.0,1900-12-31,0.316,0.334,0.235,0.219,0.226,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1901.0,1901-12-31,0.316,0.335,0.235,0.219,0.226,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1902.0,1902-12-31,0.314,0.335,0.235,0.219,0.225,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1903.0,1903-12-31,0.31,0.333,0.233,0.217,0.224,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1904.0,1904-12-31,0.31,0.333,0.233,0.217,0.224,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1905.0,1905-12-31,0.31,0.333,0.233,0.229,0.224,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1906.0,1906-12-31,0.31,0.333,0.233,0.217,0.224,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1907.0,1907-12-31,0.311,0.333,0.234,0.217,0.224,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1908.0,1908-12-31,0.31,0.333,0.234,0.217,0.224,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1909.0,1909-12-31,0.322,0.339,0.239,0.227,0.234,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1910.0,1910-12-31,0.324,0.34,0.24,0.235,0.23,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1911.0,1911-12-31,0.327,0.348,0.242,0.236,0.231,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1912.0,1912-12-31,0.332,0.351,0.245,0.248,0.234,0.806,0.985,0.881,0.0
Sweden,5.0,SWE,1913.0,1913-12-31,0.331,0.35,0.245,0.247,0.234,0.797,0.985,0.881,0.0
Sweden,5.0,SWE,1914.0,1914-12-31,0.326,0.348,0.242,0.236,0.231,0.798,0.985,0.881,0.0
Sweden,5.0,SWE,1915.0,1915-12-31,0.325,0.347,0.241,0.24,0.23,0.799,0.985,0.881,0.0
Sweden,5.0,SWE,1916.0,1916-12-31,0.325,0.347,0.241,0.24,0.23,0.799,0.985,0.881,0.0
Sweden,5.0,SWE,1917.0,1917-12-31,0.428,0.414,0.297,0.317,0.288,0.816,0.985,0.881,1.0
Sweden,5.0,SWE,1918.0,1918-12-31,0.48,0.449,0.325,0.35,0.319,0.85,0.985,0.881,1.0
Sweden,5.0,SWE,1919.0,1919-12-31,0.484,0.453,0.326,0.36,0.329,0.868,0.986,0.881,1.0
Sweden,5.0,SWE,1920.0,1920-12-31,0.487,0.461,0.329,0.37,0.349,0.878,0.986,0.881,1.0
Sweden,5.0,SWE,1921.0,1921-12-31,0.499,0.471,0.337,0.395,0.357,0.878,0.986,0.881,1.0
Sweden,5.0,SWE,1922.0,1922-12-31,0.701,0.643,0.493,0.553,0.492,0.889,0.987,0.894,3.0
Sweden,5.0,SWE,1923.0,1923-12-31,0.701,0.643,0.496,0.557,0.51,0.889,0.987,0.894,3.0
Sweden,5.0,SWE,1924.0,1924-12-31,0.704,0.647,0.499,0.572,0.512,0.891,0.987,0.894,3.0
Sweden,5.0,SWE,1925.0,1925-12-31,0.704,0.648,0.5,0.573,0.512,0.891,0.987,0.894,3.0
Sweden,5.0,SWE,1926.0,1926-12-31,0.704,0.648,0.5,0.573,0.518,0.891,0.987,0.894,3.0
Sweden,5.0,SWE,1927.0,1927-12-31,0.704,0.648,0.497,0.573,0.518,0.891,0.987,0.894,3.0
Sweden,5.0,SWE,1928.0,1928-12-31,0.704,0.647,0.494,0.573,0.518,0.891,0.987,0.894,3.0
Sweden,5.0,SWE,1929.0,1929-12-31,0.702,0.646,0.491,0.571,0.518,0.891,0.987,0.894,3.0
Sweden,5.0,SWE,1930.0,1930-12-31,0.702,0.646,0.489,0.581,0.517,0.891,0.987,0.894,3.0
Sweden,5.0,SWE,1931.0,1931-12-31,0.7,0.641,0.487,0.58,0.515,0.891,0.986,0.883,3.0
Sweden,5.0,SWE,1932.0,1932-12-31,0.704,0.648,0.488,0.599,0.521,0.891,0.987,0.893,3.0
Sweden,5.0,SWE,1933.0,1933-12-31,0.711,0.655,0.495,0.618,0.533,0.891,0.988,0.893,3.0
